division_code,dist_code,sub_dist_code,union_code,mah_code,rmo_1,node_hash,admin_unit_t1,area,total_household,pop_total,pop_in_house,pop_floating,pop_density,admin_unit_t3,rmo_3,num_general_household,household_1person,household_2person,household_3person,household_4person,household_5person,household_6person,household_7person,household_8+person,avg_household_size,admin_unit_t4,rmo_4,all_age_pop,0-4,5-9,10-14,15-19,20-24,25-29,30-49,50-59,60-64,65+
30,48,59,54,627 03,1,30485954627 031,Sahebnagar Munsihati,,94,606,606,0,,Sahebnagar Munsihati,1,94,6.4,6.4,5.3,10.6,16.0,17.0,12.8,25.5,6.4,Sahebnagar Munsihati,1,606,17.2,18.3,12.4,7.1,9.9,8.1,18.2,3.3,1.7,4.0
30,48,59,67,,,30485967,Keorjori Union Total,7463,2667,14403,14403,0,477,Keorjori Union Total,,2653,2.8,7.0,11.2,15.9,18.8,15.8,11.3,17.2,5.4,Keorjori Union Total,,14403,15.1,17.1,11.1,7.9,7.6,8.2,20.4,5.3,2.6,4.7
30,48,59,67,033,1,304859670331,*Asupur,,83,427,427,0,,*Asupur,1,83,1.2,8.4,13.3,18.1,19.3,15.7,14.5,9.6,5.1,*Asupur,1,427,13.8,16.6,11.7,7.5,6.6,7.0,23.9,5.6,2.6,4.7
30,48,59,67,033 01,1,30485967033 011,Asupur,,48,230,230,0,,Asupur,1,48,2.1,14.6,10.4,16.7,16.7,18.8,14.6,6.3,4.8,Asupur,1,230,14.3,16.5,10.0,7.8,6.1,4.3,28.7,5.7,3.0,3.5
30,48,59,67,033 02,1,30485967033 021,Garania,,35,197,197,0,,Garania,1,35,0.0,0.0,17.1,20.0,22.9,11.4,14.3,14.3,5.6,Garania,1,197,13.2,16.8,13.7,7.1,7.1,10.2,18.3,5.6,2.0,6.1
30,48,59,67,526,1,304859675261,*Kanchanpur,,354,1800,1800,0,,*Kanchanpur,1,345,3.8,8.1,12.8,18.0,18.8,14.8,9.6,14.2,5.1,*Kanchanpur,1,1800,15.2,16.0,10.9,6.5,8.5,9.2,21.1,5.5,2.2,4.9
30,48,59,67,593,1,304859675931,*Keorjori,,836,4585,4585,0,,*Keorjori,1,836,2.6,8.1,9.9,17.7,17.6,14.4,10.6,19.0,5.5,*Keorjori,1,4585,13.8,16.0,10.4,8.0,7.1,8.4,21.0,5.6,3.1,6.4
30,48,59,67,593 01,1,30485967593 011,Keorjori,,517,2782,2782,0,,Keorjori,1,517,3.5,7.9,9.9,18.4,18.0,15.3,10.3,16.8,5.4,Keorjori,1,2782,12.0,14.2,10.7,8.6,7.3,9.0,21.7,5.8,3.7,6.9
30,48,59,67,593 02,1,30485967593 021,Kazirkhala,,153,872,872,0,,Kazirkhala,1,153,0.7,8.5,11.1,16.3,17.6,11.8,9.8,24.2,5.7,Kazirkhala,1,872,17.4,20.6,11.5,7.0,7.7,7.8,15.5,5.6,2.4,4.5
30,48,59,67,593 03,1,30485967593 031,Dakshin Keorjori,,130,742,742,0,,Dakshin Keorjori,1,130,2.3,6.2,9.2,19.2,14.6,11.5,13.8,23.1,5.7,Dakshin Keorjori,1,742,15.0,17.3,7.7,7.1,6.7,7.4,24.4,5.1,2.0,7.3
30,48,59,67,593 04,1,30485967593 041,Mafizgaon,,36,189,189,0,,Mafizgaon,1,36,0.0,16.7,8.3,8.3,22.2,22.2,8.3,13.9,5.3,Mafizgaon,1,189,19.6,16.4,12.7,7.4,3.7,5.8,22.8,4.8,2.6,4.2
30,48,59,67,643,1,304859676431,*Kora,,403,2151,2151,0,,*Kora,1,401,3.5,7.2,10.7,13.7,20.7,17.5,10.5,16.2,5.4,*Kora,1,2151,19.3,20.5,8.7,5.4,8.2,8.2,19.5,5.0,1.8,3.4
30,48,59,67,643 01,1,30485967643 011,Korakandi,,250,1368,1368,0,,Korakandi,1,249,4.0,5.2,12.4,11.6,20.9,17.3,10.0,18.5,5.5,Korakandi,1,1368,18.1,21.2,8.6,5.0,8.2,7.9,20.9,5.3,1.6,3.1
30,48,59,67,643 02,1,30485967643 021,Natun Kura,,153,783,783,0,,Natun Kura,1,152,2.6,10.5,7.9,17.1,20.4,17.8,11.2,12.5,5.1,Natun Kura,1,783,21.3,19.2,8.8,6.3,8.3,8.7,17.1,4.3,2.2,3.8
30,48,59,67,668,1,304859676681,*Laukura,,429,2598,2598,0,,*Laukura,1,428,0.9,3.7,5.8,14.0,17.5,19.2,13.8,25.0,6.1,*Laukura,1,2598,13.3,18.7,14.7,10.9,6.5,6.6,19.2,4.2,2.0,3.8
30,48,59,67,668 01,1,30485967668 011,Laukura,,35,218,218,0,,Laukura,1,35,0.0,5.7,11.4,11.4,5.7,28.6,8.6,28.6,6.2,Laukura,1,218,8.7,11.9,14.2,18.8,7.3,6.4,21.1,3.7,1.8,6.0
30,48,59,67,668 02,1,30485967668 021,Chandipur,,68,419,419,0,,Chandipur,1,68,1.5,1.5,2.9,13.2,25.0,19.1,8.8,27.9,6.2,Chandipur,1,419,6.0,12.4,22.4,16.7,6.9,3.1,20.5,5.3,1.7,5.0
30,48,59,67,668 03,1,30485967668 031,Hemantaganj,,188,1117,1117,0,,Hemantaganj,1,188,1.1,4.8,6.9,16.0,19.7,13.3,13.3,25.0,5.9,Hemantaganj,1,1117,14.1,20.8,11.7,9.4,6.2,7.2,18.9,4.7,2.7,4.4
