date,district_city,cases
"Jun 3, 2020",জামালপুর,218
"May 30, 2020",বগুড়া,218
"May 10, 2020",চট্টগ্রাম,220
"May 10, 2020",ময়মনসিংহ,221
"Jun 1, 2020",ফরিদপুর,223
"May 31, 2020",ফরিদপুর,223
"May 14, 2020",কুমিল্লা,225
"Jun 2, 2020",নেত্রকোনা,225
"Jun 3, 2020",নেত্রকোনা,230
"May 27, 2020",কিশোরগঞ্জ,231
"May 26, 2020",কিশোরগঞ্জ,231
"May 25, 2020",কিশোরগঞ্জ,231
"May 24, 2020",কিশোরগঞ্জ,231
"May 23, 2020",কিশোরগঞ্জ,231
"May 27, 2020",সিলেট,232
"Jun 1, 2020",গোপালগঞ্জ,232
"May 20, 2020",কক্সবাজার,232
"Jun 1, 2020",কিশোরগঞ্জ,233
"May 11, 2020",ময়মনসিংহ,233
"May 31, 2020",গোপালগঞ্জ,233
"Jun 2, 2020",কিশোরগঞ্জ,233
"May 31, 2020",কিশোরগঞ্জ,233
"May 30, 2020",কিশোরগঞ্জ,233
"May 29, 2020",কিশোরগঞ্জ,233
"May 28, 2020",কিশোরগঞ্জ,233
"Jun 2, 2020",গোপালগঞ্জ,239
"Jun 3, 2020",কিশোরগঞ্জ,239
"Jun 2, 2020",ফরিদপুর,240
"May 12, 2020",ময়মনসিংহ,246
"Jun 2, 2020",বগুড়া,248
"Jun 3, 2020",বগুড়া,249
"May 15, 2020",কুমিল্লা,259
"May 21, 2020",কক্সবাজার,259
"May 14, 2020",ময়মনসিংহ,262
"Jun 3, 2020",গোপালগঞ্জ,264
"Jun 4, 2020",কিশোরগঞ্জ,264
"May 11, 2020",চট্টগ্রাম,266
"Jun 4, 2020",গোপালগঞ্জ,266
"Jun 4, 2020",বগুড়া,268
"May 17, 2020",রংপুর,272
"Jun 3, 2020",ফরিদপুর,274
"Jun 4, 2020",জামালপুর,275
"May 15, 2020",ময়মনসিংহ,276
"May 16, 2020",কুমিল্লা,278
"May 22, 2020",নোয়াখালী,280
"May 14, 2020",মুন্সিগঞ্জ,283
"May 22, 2020",কক্সবাজার,283
"May 16, 2020",ময়মনসিংহ,284
"May 19, 2020",রংপুর,286
"May 30, 2020",সিলেট,292
"May 29, 2020",সিলেট,292
"May 28, 2020",সিলেট,292
"May 17, 2020",ময়মনসিংহ,295
"May 16, 2020",মুন্সিগঞ্জ,297
"May 15, 2020",মুন্সিগঞ্জ,297
"May 17, 2020",কুমিল্লা,298
"Jun 4, 2020",ফরিদপুর,306
"May 12, 2020",চট্টগ্রাম,314
"May 20, 2020",রংপুর,325
"May 17, 2020",মুন্সিগঞ্জ,329
"May 23, 2020",কক্সবাজার,329
"May 8, 2020",গাজীপুর,330
"May 9, 2020",গাজীপুর,332
"May 10, 2020",গাজীপুর,333
"May 11, 2020",গাজীপুর,338
"May 19, 2020",ময়মনসিংহ,340
"May 31, 2020",সিলেট,347
"May 12, 2020",গাজীপুর,347
"May 20, 2020",ময়মনসিংহ,351
"May 21, 2020",রংপুর,354
"May 21, 2020",ময়মনসিংহ,358
"May 24, 2020",কক্সবাজার,362
"May 22, 2020",রংপুর,369
"May 19, 2020",কুমিল্লা,371
"May 23, 2020",রংপুর,371
"May 23, 2020",নোয়াখালী,373
"May 24, 2020",রংপুর,374
"May 22, 2020",ময়মনসিংহ,375
"May 25, 2020",নোয়াখালী,378
"May 24, 2020",নোয়াখালী,378
"May 23, 2020",ময়মনসিংহ,380
"May 25, 2020",রংপুর,380
"May 19, 2020",মুন্সিগঞ্জ,383
"May 26, 2020",রংপুর,386
"May 27, 2020",রংপুর,394
"May 24, 2020",ময়মনসিংহ,399
"May 25, 2020",ময়মনসিংহ,399
"May 26, 2020",ময়মনসিংহ,400
"May 20, 2020",মুন্সিগঞ্জ,400
"May 20, 2020",কুমিল্লা,400
"May 21, 2020",মুন্সিগঞ্জ,400
"May 27, 2020",ময়মনসিংহ,409
"May 29, 2020",রংপুর,409
"May 28, 2020",রংপুর,409
"May 25, 2020",কক্সবাজার,410
"May 30, 2020",রংপুর,415
"May 26, 2020",নোয়াখালী,417
"May 27, 2020",নোয়াখালী,417
"Jun 1, 2020",সিলেট,418
"May 21, 2020",কুমিল্লা,420
"May 28, 2020",ময়মনসিংহ,424
"May 22, 2020",কুমিল্লা,425
"May 31, 2020",রংপুর,427
"May 22, 2020",মুন্সিগঞ্জ,432
"May 26, 2020",কক্সবাজার,435
"Jun 1, 2020",রংপুর,456
"May 14, 2020",গাজীপুর,460
"Jun 2, 2020",সিলেট,465
"Jun 2, 2020",রংপুর,469
"May 27, 2020",কক্সবাজার,470
"May 28, 2020",নোয়াখালী,478
"Jun 3, 2020",রংপুর,479
"May 23, 2020",কুমিল্লা,482
"Jun 4, 2020",রংপুর,487
"May 30, 2020",ময়মনসিংহ,489
"May 29, 2020",ময়মনসিংহ,489
"May 15, 2020",গাজীপুর,490
"May 31, 2020",ময়মনসিংহ,491
"Jun 2, 2020",ময়মনসিংহ,491
"Jun 1, 2020",ময়মনসিংহ,491
"Jun 3, 2020",ময়মনসিংহ,497
"May 14, 2020",চট্টগ্রাম,497
"May 28, 2020",কক্সবাজার,508
"May 16, 2020",গাজীপুর,509
"Jun 4, 2020",ময়মনসিংহ,511
"May 29, 2020",নোয়াখালী,519
"May 17, 2020",গাজীপুর,527
"May 24, 2020",কুমিল্লা,533
"May 19, 2020",গাজীপুর,535
"May 20, 2020",গাজীপুর,539
"May 21, 2020",গাজীপুর,542
"May 23, 2020",গাজীপুর,544
"May 15, 2020",চট্টগ্রাম,553
"May 22, 2020",গাজীপুর,561
"Jun 3, 2020",সিলেট,563
"May 25, 2020",কুমিল্লা,567
"May 29, 2020",কক্সবাজার,568
"May 24, 2020",গাজীপুর,571
"May 30, 2020",নোয়াখালী,574
"May 24, 2020",মুন্সিগঞ্জ,581
"May 23, 2020",মুন্সিগঞ্জ,581
"May 25, 2020",গাজীপুর,591
"May 25, 2020",মুন্সিগঞ্জ,601
"May 26, 2020",গাজীপুর,609
"Jun 4, 2020",সিলেট,617
"May 27, 2020",গাজীপুর,618
"May 16, 2020",চট্টগ্রাম,619
"May 31, 2020",নোয়াখালী,626
"May 28, 2020",গাজীপুর,629
"May 30, 2020",গাজীপুর,635
"May 29, 2020",গাজীপুর,635
"May 30, 2020",কক্সবাজার,636
"May 26, 2020",কুমিল্লা,637
"May 27, 2020",মুন্সিগঞ্জ,655
"May 26, 2020",মুন্সিগঞ্জ,655
"May 28, 2020",মুন্সিগঞ্জ,658
"Jun 1, 2020",নোয়াখালী,669
"May 27, 2020",কুমিল্লা,680
"May 17, 2020",চট্টগ্রাম,695
"May 30, 2020",মুন্সিগঞ্জ,698
"May 29, 2020",মুন্সিগঞ্জ,698
"Jun 2, 2020",নোয়াখালী,726
"May 31, 2020",কক্সবাজার,734
"May 28, 2020",কুমিল্লা,753
"Jun 1, 2020",মুন্সিগঞ্জ,757
"May 31, 2020",মুন্সিগঞ্জ,757
"May 30, 2020",কুমিল্লা,771
"May 29, 2020",কুমিল্লা,771
"Jun 3, 2020",নোয়াখালী,785
"Jun 1, 2020",কক্সবাজার,798
"Jun 2, 2020",মুন্সিগঞ্জ,818
"Jun 4, 2020",নোয়াখালী,838
"May 31, 2020",কুমিল্লা,846
"Jun 2, 2020",কক্সবাজার,887
"Jun 3, 2020",মুন্সিগঞ্জ,933
"May 19, 2020",চট্টগ্রাম,940
"Jun 3, 2020",কক্সবাজার,948
"Jun 1, 2020",কুমিল্লা,957
"Jun 4, 2020",কক্সবাজার,969
"Jun 4, 2020",মুন্সিগঞ্জ,980
"Jun 2, 2020",কুমিল্লা,1038
"May 31, 2020",গাজীপুর,1065
"Jun 1, 2020",গাজীপুর,1072
"Jun 3, 2020",কুমিল্লা,1091
"May 20, 2020",চট্টগ্রাম,1100
"Jun 2, 2020",গাজীপুর,1115
"May 8, 2020",নারায়ণগঞ্জ,1136
"Jun 3, 2020",গাজীপুর,1137
"Jun 4, 2020",গাজীপুর,1150
"Jun 4, 2020",কুমিল্লা,1173
"May 9, 2020",নারায়ণগঞ্জ,1177
"May 10, 2020",নারায়ণগঞ্জ,1198
"May 11, 2020",নারায়ণগঞ্জ,1243
"May 21, 2020",চট্টগ্রাম,1248
"May 12, 2020",নারায়ণগঞ্জ,1286
"May 22, 2020",চট্টগ্রাম,1340
"May 14, 2020",নারায়ণগঞ্জ,1345
"May 15, 2020",নারায়ণগঞ্জ,1391
"May 16, 2020",নারায়ণগঞ্জ,1426
"May 17, 2020",নারায়ণগঞ্জ,1463
"May 19, 2020",নারায়ণগঞ্জ,1508
"May 23, 2020",চট্টগ্রাম,1556
"May 20, 2020",নারায়ণগঞ্জ,1582
"May 21, 2020",নারায়ণগঞ্জ,1599
"May 22, 2020",নারায়ণগঞ্জ,1666
"May 24, 2020",চট্টগ্রাম,1707
"May 23, 2020",নারায়ণগঞ্জ,1771
"May 25, 2020",চট্টগ্রাম,1789
"May 24, 2020",নারায়ণগঞ্জ,1806
"May 25, 2020",নারায়ণগঞ্জ,1837
"May 26, 2020",চট্টগ্রাম,1910
"May 26, 2020",নারায়ণগঞ্জ,1916
"May 27, 2020",নারায়ণগঞ্জ,1917
"May 28, 2020",নারায়ণগঞ্জ,1944
